the  la
nation  nation
plan  planifier
cut  couper
college  université
interest  intérêt
death  décès
course  cours
someone  quelqu'un
experience  expérience
behind  derrière
reach  atteindre
local  local
six  six
kill  tuer
remain  rester
effect  effet
yeah  ouais
suggest  suggérer
class  classer
control  contrôler
raise  élever
care  se soucier
perhaps  peut-être
late  en retard
hard  dur
field  champ
else  autre
pass  passe
former  ancien
sell  vendre
major  majeur
sometimes  parfois
require  exiger
along  le long de
development  développement
themselves  eux-mêmes
report  rapport
role  rôle
better  mieux
economic  économique
effort  effort
decide  décider
rate  taux
strong  fort
possible  possible
heart  cœur
drug  drogue
leader  chef
light  léger
voice  voix
wife  femme
whole  ensemble
police  police
mind  esprit
finally  finalement
pull  tirer
return  retourner
free  libre
military  militaire
price  le prix
less  moins
according  selon
decision  décision
explain  explique
son  fils
hope  espérer
develop  développer
view  voir
relationship  relation amoureuse
carry  porter
town  ville
road  route
drive  conduire
arm  bras
TRUE  true
federal  fédéral
break  pause
difference  différence
receive  recevoir
thank  remercier
value  évaluer
international  international
building  bâtiment
action  action
full  plein
model  maquette
join  rejoindre
season  saison
society  société
tax  impôt
director  réalisateur
position  position
player  joueur
agree  je suis d'accord
especially  surtout
record  disque
pick  prendre
wear  porter
paper  papier
special  spécial
space  espacer
ground  sol
form  forme
support  support
event  un événement
official  officiel
whose  à qui
matter  question
everyone  toutes les personnes
center  centre
couple  coupler
site  placer
project  projet
hit  frapper
base  base
activity  activité
star  star
table  table
court  rechercher
produce  produire
eat  manger
teach  enseigner
oil  huile
half  demi
situation  situation
easy  facile
cost  coût
industry  industrie
figure  chiffre
street  rue
image  image
itself  lui-même
phone  téléphoner
either  soit
data  les données
cover  couverture
quite  assez
picture  image
clear  dégager
practice  entraine toi
piece  pièce
land  terre
recent  récent
describe  décris
product  produit
doctor  médecin
wall  mur
patient  patient
worker  ouvrier
news  nouvelles
test  test
movie  film
certain  certain
north  nord
personal  personnel
simply  simplement
third  la troisième
technology  la technologie
catch  attraper
step  étape
baby  bébé
computer  l'ordinateur
type  taper
attention  attention
draw  dessiner
film  film
republican  républicain
organization  organisation
tree  arbre
source  la source
red  rouge
nearly  presque
choose  choisir
cause  causer
hair  cheveu
century  siècle
evidence  preuve
window  la fenêtre
difficult  difficile
listen  ecoutez
soon  bientôt
culture  culture
billion  milliard
chance  chance
brother  frère
energy  énergie
realize  prendre conscience de
period  point final
summer  l'été
hundred  cent
available  disponible
plant  plante
likely  probable
opportunity  opportunité
term  terme
short  court
letter  lettre
condition  état
choice  choix
single  célibataire
rule  régner
daughter  la fille
administration  administration
south  sud
husband  mari
congress  congrès
floor  sol
campaign  campagne
material  matériel
population  population
economy  économie
medical  médical
hospital  hôpital
church  église
close  fermer
risk  risque
thousand  mille
current  courant
fire  feu
future  avenir
wrong  tort
involve  impliquer
defense  la défense
behavior  comportement
anyone  n'importe qui
increase  augmenter
security  sécurité
myself  moi même
bank  banque
certainly  certainement
west  ouest
sport  sport
board  planche
seek  chercher
per  par
subject  matière
officer  officier
private  privé
rest  du repos
deal  accord
performance  performance
fight  se battre
throw  lancer
top  haut
quickly  rapidement
past  passé
goal  but
bed  lit
order  commande
author  auteur
fill  remplir
represent  représenter
focus  se concentrer
foreign  étranger
drop  laissez tomber
blood  du sang
upon  sur
agency  agence
push  pousser
nature  nature
color  couleur
recently  récemment
store  boutique
reduce  réduire
sound  sonner
note  remarque
fine  amende
near  près
movement  mouvement
page  page
enter  entrer
common  commun
share  partager
poor  pauvre
natural  naturel
race  course
concern  préoccuper
series  séries
significant  important
similar  similaire
hot  chaud
language  langue
usually  d'habitude
response  réponse
dead  mort
rise  se lever
animal  animal
factor  facteur
decade  décennie
article  article
shoot  tirer
east  est
seven  sept
save  enregistrer
artist  artiste
scene  scène
eight  huit
stock  stock
career  carrière
despite  en dépit
central  central
thus  donc
treatment  traitement
beyond  au-delà
happy  content
exactly  exactement
protect  protéger
approach  approcher
lie  mensonge
size  taille
dog  chien
fund  fonds
serious  sérieux
occur  se produire
media  médias
ready  prêt
sign  signer
thought  pensait
list  liste
individual  individuel
simple  facile
quality  qualité
pressure  pression
accept  j'accepte
answer  répondre
resource  ressource
identify  identifier
left  la gauche
meeting  rencontre
determine  déterminer
prepare  préparer
disease  maladie
whatever  peu importe
success  succès
argue  se disputer
recognize  reconnaître
cup  coupe
particularly  particulièrement
amount  montant
ability  capacité
staff  personnel
indicate  indiquer
character  personnage
growth  croissance
loss  perte
degree  diplôme
wonder  merveille
attack  attaque
herself  se
region  région
television  télévision
box  boîte
training  formation
pretty  jolie
everybody  tout le monde
trade  commerce
election  élection
physical  physique
lay  allonger
general  général
feeling  sentiment
standard  la norme
message  un message
fail  échouer
(bill)  (facture)
outside  à l'extérieur
arrive  arrivée
analysis  analyse
benefit  avantage
sex  sexe
forward  effronté
lawyer  avocat
present  cadeau
section  section
environmental  environnemental
glass  verre
skill  compétence
sister  sœur
pm  pm
professor  professeur
operation  opération
financial  financier
crime  la criminalité
stage  étape
ok  d'accord
compare  comparer
authority  autorité
miss  mademoiselle
design  conception
sort  sorte
act  acte
ten  dix
knowledge  connaissances
gun  arme à feu
station  station
blue  bleu
strategy  stratégie
clearly  clairement
discuss  discuter
indeed  en effet
truth  vérité
song  chanson
example  exemple
democratic  démocratique
check  chèque
environment  environnement
leg  jambe
dark  foncé
various  divers
rather  plutôt
laugh  rire
guess  deviner
executive  exécutif
prove  prouver
hang  pendre
entire  tout
rock  roche
forget  oubliez
claim  réclamer
remove  retirer
manager  directeur
enjoy  prendre plaisir
network  réseau
legal  légal
religious  religieux
cold  du froid
final  final
main  principale
science  la science
green  vert
memory  mémoire
card  carte
above  au dessus
seat  siège
cell  cellule
establish  établir
nice  agréable
trial  essai
expert  expert
spring  le printemps
firm  solidifier
democrat  démocrate
radio  radio
visit  visiter
management  le management
avoid  éviter
imagine  imaginer
tonight  ce soir
huge  énorme
ball  balle
yourself  toi-même
finish  terminer
theory  théorie
impact  impacter
respond  répondre
statement  déclaration
maintain  maintenir
charge  charger
popular  populaire
traditional  traditionnel
onto  sur
reveal  faire apparaître
direction  direction
weapon  arme
employee  employé
contain  contenir
cultural  culturel
peace  paix
pain  douleur
apply  appliquer
wide  large
measure  mesure
shake  secouer
fly  voler
interview  entretien
manage  faire en sorte
chair  chaise
fish  poisson
particular  particulier
camera  appareil photo
structure  structure
politics  politique
bit  bit
perform  effectuer
weight  poids
suddenly  tout à coup
discover  découvrir
candidate  candidat
production  production
treat  traiter
evening  soirée
trip  voyage
affect  affecter
inside  à l'intérieur
conference  conférence
unit  unité
style  style
adult  adulte
worry  s'inquiéter
mention  mention
range  intervalle
deep  profond
edge  bord
specific  spécifique
writer  écrivain
trouble  inquiéter
necessary  nécessaire
throughout  tout au long de
challenge  défi
fear  peur
shoulder  épaule
institution  institution
middle  milieu
sea  mer
dream  rêver
bar  bar
beautiful  magnifique
property  biens
instead  au lieu
improve  améliorer
stuff  truc
detail  détail
method  méthode
somebody  quelqu'un
magazine  magazine
hotel  hôtel
soldier  soldat
reflect  réfléchir
heavy  lourd
sexual  sexuel
bag  sac
heat  chauffer
marriage  mariage
tough  difficile
sing  chanter
purpose  but
surface  surface
exist  exister
pattern  modèle
whom  qui
skin  la peau
agent  agent
owner  propriétaire
machine  machine
gas  gaz
ahead  devant
generation  génération
commercial  commercial
address  adresse
cancer  cancer
item  objet
reality  réalité
coach  entraîneur
yard  cour
beat  battre
violence  la violence
total  total
tend  tendre
investment  investissement
discussion  discussion
finger  doigt
garden  jardin
notice  remarquer
collection  collection
modern  moderne
task  tâche
partner  partenaire
positive  positif
civil  civil
kitchen  cuisine
consumer  consommateur
shot  tirer
budget  budget
wish  souhaiter
painting  la peinture
scientist  scientifique
safe  sûr
agreement  accord
mouth  bouche
capital  capitale
nor  ni
victim  victime
newspaper  un journal
threat  menace
responsibility  responsabilité
smile  le sourire
attorney  avocat
score  but
account  compte
interesting  intéressant
audience  public
rich  riche
dinner  dîner
vote  voter
western  occidental
relate  rapporter
travel  voyage
debate  débat
prevent  empêcher
citizen  citoyen
majority  majorité
none  rien
front  de face
born  née
admit  admettre
senior  sénior
assume  supposer
wind  vent
key  clé
professional  professionnel
mission  mission
fast  vite
alone  seule
customer  client
suffer  souffrir
speech  discours
successful  réussi
option  option
participant  participant
southern  du sud
eventually  finalement
fresh  frais
forest  forêt
video  vidéo
global  global
senate  sénat
reform  réforme
access  accéder
restaurant  restaurant
judge  juge
publish  publier
relation  relation
release  libération
bird  oiseau
labor  la main d'oeuvre
opinion  avis
credit  crédit
critical  critique
corner  coin
concerned  concerné
recall  rappeler
version  version
stare  regard
safety  sécurité
effective  efficace
neighborhood  quartier
original  original
troop  troupe
income  le revenu
directly  directement
hurt  faire mal
species  espèce
immediately  immédiatement
track  piste
basic  de base
strike  la grève
sky  ciel
freedom  liberté
absolutely  tout à fait
plane  avion
nobody  personne
achieve  atteindre
object  objet
nine  neuf
attitude  attitude
refer  référer
client  client
concept  concept
powerful  puissant
perfect  parfait
therefore  donc
conduct  conduite
announce  annoncer
conversation  conversation
examine  examiner
touch  toucher
please  s'il te plaît
attend  assister à
completely  complètement
variety  variété
sleep  sommeil
involved  impliqué
investigation  enquête
nuclear  nucléaire
researcher  chercheur
press  presse
conflict  conflit
spirit  esprit
replace  remplacer
british  britanique
encourage  encourager
argument  argument
(lot)  (parcelle)
camp  camp
brain  cerveau
feature  caractéristique
afternoon  après midi
am  un m
weekend  weekend
dozen  douzaine
possibility  possibilité
insurance  assurance
department  département
battle  bataille
beginning  début
date  date
generally  généralement
african  africain
sorry  pardon
crisis  crise
complete  achevée
fan  ventilateur
stick  coller
define  définir
easily  facilement
hole  trou
element  élément
status  statut
vision  vision
normal  ordinaire
chinese  chinois
ship  bateau
stone  calcul
solution  solution
slowly  lentement
scale  escalader
(university)  (université)
introduce  présenter
driver  chauffeur
attempt  tentative
(park)  (parc)
spot  place
lack  manque
ice  glace
boat  bateau
drink  boisson
sun  soleil
distance  distance
wood  bois
truck  un camion
handle  poignée
mountain  montagne
survey  enquête
supposed  supposé
tradition  tradition
winter  hiver
village  village
soviet  soviétique
refuse  refuser
sales  ventes
roll  rouler
communication  la communication
screen  écran
gain  gain
resident  résident
hide  cacher
gold  or
club  club
farm  cultiver
potential  potentiel
european  européen
presence  présence
independent  indépendant
district  quartier
shape  façonner
reader  lecteur
contract  contrat
crowd  foule
christian  christian
express  express
apartment  appartement
willing  disposé
strength  force
previous  précédent
band  bande
obviously  de toute évidence
horse  cheval
interested  intéressé
target  cible
prison  prison
ride  conduire
guard  garder
terms  termes
reporter  journaliste
demand  demande
deliver  livrer
text  texte
tool  outil
wild  sauvage
vehicle  véhicule
observe  observer
flight  vol
facility  établissement
understanding  entente
average  moyen
emerge  émerger
advantage  avantage
quick  rapide
leadership  leadership
earn  gagner
pound  broyer
basis  base
bright  brillant
operate  fonctionner
guest  invité
sample  goûter
contribute  contribuer
tiny  minuscule
block  bloquer
protection  protection
settle  régler
feed  alimentation
collect  collecter
additional  additionnel
highly  très
identity  identité
title  titre
mostly  la plupart
lesson  cours
faith  foi
river  fleuve
promote  promouvoir
living  vivant
count  compter
unless  à moins que
marry  marier
tomorrow  demain
technique  technique
path  chemin
ear  oreille
shop  magasin
folk  populaire
principle  principe
survive  survivre
lift  ascenseur
border  frontière
competition  concurrence
jump  saut
gather  rassembler
limit  limite
fit  ajuster
cry  pleurer
equipment  équipement
worth  valeur
associate  associer
critic  critique
warm  chaleureux
aspect  aspect
insist  insister
failure  échec
annual  annuel
french  français
comment  commenter
affair  affaire
responsible  responsable
procedure  procédure
regular  régulier
spread  propagé
chairman  président
baseball  base-ball
soft  doux
ignore  ignorer
egg  oeuf
belief  croyance
demonstrate  démontrer
anybody  n'importe qui
murder  meurtre
gift  cadeau
religion  religion
review  la revue
editor  éditeur
engage  engager
coffee  café
document  document
speed  vitesse
cross  traverser
influence  influence
anyway  en tous cas
commit  s'engager
threaten  menacer
female  femme
youth  jeunesse
wave  vague
afraid  peur
quarter  trimestre
background  contexte
native  originaire de
broad  large
wonderful  magnifique
deny  nier
apparently  apparemment
slightly  légèrement
reaction  réaction
twice  deux fois
suit  combinaison
perspective  la perspective
growing  croissance
blow  souffler
construction  construction
intelligence  intelligence
destroy  détruire
cook  cuisiner
connection  connexion
burn  brûler
shoe  chaussure
neighbor  voisine
grade  noter
context  le contexte
committee  comité
hey  hé
mistake  erreur
location  lieu
clothes  vêtements
quiet  silencieux
indian  indien
dress  robe
promise  promettre
aware  au courant
function  une fonction
bone  os
active  actif
extend  se déployer
chief  chef
combine  combiner
wine  vin
below  au dessous de
cool  frais
voter  électeur
bus  autobus
learning  apprentissage
hell  enfer
dangerous  dangereux
remind  rappeler
moral  moral
united  uni
category  catégorie
relatively  relativement
victory  la victoire
academic  académique
internet  l'internet
healthy  sain
negative  négatif
following  suivant
historical  historique
medicine  médicament
tour  visiter
depend  dépendre
(photo)  (photo)
finding  découverte
grab  saisir
direct  direct
classroom  salle de classe
contact  contact
justice  justice
participate  participer
daily  du quotidien
fair  équitable
pair  paire
famous  célèbre
exercise  exercer
knee  le genou
flower  fleur
tape  ruban
hire  embaucher
familiar  familier
appropriate  approprié
supply  fournir
fully  pleinement
actor  acteur
birth  naissance
search  chercher
tie  nouer
democracy  la démocratie
eastern  est
primary  primaire
yesterday  hier
circle  cercle
device  appareil
progress  le progrès
bottom  bas
island  île
exchange  échanger
clean  nettoyer
studio  studio
train  former
lady  dame
colleague  collègue
application  application
lean  mince
neck  cou
damage  dommage
plastic  plastique
tall  haut
plate  assiette
hate  détester
otherwise  par ailleurs
writing  en écrivant
male  masculin
alive  vivant
expression  expression
football  football
theater  théâtre
intend  avoir l'intention
chicken  poulet
army  armée
abuse  abuser de
shut  fermer
map  carte
extra  supplémentaire
session  session
welcome  bienvenue
danger  danger
domestic  national
lots  beaucoup
literature  littérature
rain  pluie
desire  désir
assessment  évaluation
injury  blessure
respect  le respect
paint  peinture
northern  nord
nod  hocher la tête
fuel  carburant
leaf  feuille
dry  sécher
russian  russe
instruction  instruction
pool  bassin
climb  grimper
sweet  sucré
engine  moteur
fourth  quatrième
salt  sel
expand  développer
importance  importance
metal  métal
fat  gros
ticket  billet
software  logiciel
disappear  disparaître
corporate  d'entreprise
strange  étrange
reading  la lecture
lip  lèvre
urban  urbain
mental  mental
increasingly  de plus en plus
lunch  déjeuner
educational  éducatif
somewhere  quelque part
farmer  fermier
sugar  du sucre
planet  planète
favorite  favori
explore  explorer
obtain  obtenir
enemy  ennemi
greatest  le plus grand
complex  complexe
surround  entourer
athlete  athlète
invite  inviter
repeat  répéter
carefully  soigneusement
soul  âme
scientific  scientifique
impossible  impossible
panel  panneau
meaning  signification
mom  maman
married  marié
instrument  instrument
predict  prédire
weather  la météo
presidential  présidentiel
commitment  engagement
emotional  émotif
supreme  suprême
bear  ours
pocket  poche
thin  mince
temperature  température
poll  sondage
surprise  surprendre
proposal  proposition
consequence  conséquence
breath  souffle
sight  vue
balance  équilibre
adopt  adopter
minority  minorité
straight  droit
connect  relier
works  œuvres
teaching  enseignement
belong  appartiennent
aid  aide
advice  conseils
okay  d'accord
organize  organiser
(photograph)  (photographier)
empty  vide
regional  régional
trail  piste
novel  roman
code  code
somehow  en quelque sorte
jury  jury
iraqi  irakien
breast  sein
acknowledge  accuser réception
theme  thème
storm  orage
union  syndicat
desk  pupitre
thanks  merci
fruit  fruit
expensive  cher
yellow  jaune
conclusion  conclusion
prime  premier
shadow  ombre
struggle  lutter
conclude  conclure
dance  danse
analyst  analyste
regulation  régulation
being  être
ring  bague
largely  en grande partie
shift  changement
revenue  revenu
locate  localiser
mark  marque
(county)  (comté)
appearance  apparence
package  emballer
difficulty  difficulté
bridge  pont
recommend  recommander
obvious  évident
basically  fondamentalement
e-mail  e-mail
generate  produire
anymore  plus
propose  proposer
thinking  en pensant
possibly  peut-être
trend  tendance
visitor  visiteur
loan  prêter
currently  actuellement
comfortable  à l'aise
investor  investisseur
profit  profit
angry  en colère
crew  équipage
accident  accident
meal  repas
hearing  audience
traffic  circulation
muscle  muscle
notion  notion
capture  capturer
prefer  préférer
chest  coffre
japanese  japonais
truly  vraiment
(earth)  (la terre)
thick  épais
cash  en espèces
museum  musée
beauty  beauté
emergency  urgence
unique  unique
internal  interne
ethnic  ethnique
link  lien
stress  stress
content  contenu
select  sélectionner
root  racine
nose  nez
declare  déclarer
appreciate  apprécier
actual  réel
bottle  bouteille
hardly  à peine
setting  réglage
launch  lancement
file  fichier
sick  malade
outcome  résultat
ad  un d
defend  défendre
duty  devoir
sheet  drap
ensure  assurer
ought  devrait
long-term  long terme
extremely  extrêmement
catholic  catholique
extent  le degré
mix  mélanger
component  composant
slow  lent
contrast  contraste
zone  zone
wake  réveiller
airport  aéroport
ourselves  nous-mêmes
brown  marron
shirt  chemise
pilot  pilote
warn  prévenir
ultimately  finalement
cat  chat
contribution  contribution
capacity  capacité
estate  domaine
guide  guider
circumstance  circonstance
snow  neiger
english  anglais
politician  politicien
steal  voler
pursue  poursuivre
slip  glisser
percentage  pourcentage
meat  viande
funny  drôle
neither  non plus
soil  sol
surgery  opération
correct  correct
jewish  juif
due  payable
blame  faire des reproches
estimate  estimation
basketball  basket-ball
golf  le golf
investigate  enquêter
crazy  fou
significantly  significativement
chain  chaîne
branch  branche
combination  combinaison
frequently  fréquemment
governor  gouverneur
relief  soulagement
user  utilisateur
dad  père
kick  donner un coup
ancient  ancien
manner  manière
rating  notation
silence  silence
golden  doré
motion  mouvement
german  allemand
gender  le sexe
solve  résoudre
fee  frais
landscape  paysage
used  utilisé
bowl  bol
equal  égal
frame  cadre
forth  en avant
typical  typique
except  à l'exception
conservative  conservateur
eliminate  éliminer
hall  salle
host  héberger
trust  confiance
ocean  océan
row  ligne
producer  producteur
afford  s'offrir
meanwhile  entre-temps
regime  régime
division  division
fix  réparer
confirm  confirmer
appeal  faire appel
mirror  miroiter
tooth  dent
length  longueur
smart  intelligent
rely  compter sur
entirely  entièrement
complain  se plaindre
topic  sujet
variable  variable
telephone  téléphone
perception  la perception
attract  attirer
secret  secret
bedroom  chambre à coucher
confidence  confiance
debt  dette
rare  peu fréquent
tank  char
nurse  infirmière
opposition  opposition
coverage  couverture
aside  de côté
anywhere  partout
bond  lier
pleasure  plaisir
master  maître
era  ère
requirement  exigence
fun  amusant
wing  aile
expectation  attente
separate  séparé
somewhat  quelque peu
pour  verser
stir  remuer
judgment  jugement
beer  bière
reference  référence
tear  larme
doubt  doute
grant  accorder
seriously  sérieusement
minister  ministre
totally  totalement
hero  héros
industrial  industriel
cloud  nuage
stretch  s'étirer
winner  gagnant
volume  le volume
seed  planter
surprised  surpris
fashion  mode
pepper  poivre
busy  occupé
intervention  intervention
copy  copie
tip  pointe
cheap  pas cher
aim  objectif
cite  citer
welfare  bien-être
vegetable  légume
dish  assiette
improvement  amélioration
beach  plage
everywhere  partout
gray  grise
opening  ouverture
overall  globalement
divide  diviser
initial  initiale
terrible  terrible
oppose  s'opposer
route  route
contemporary  contemporain
multiple  plusieurs
essential  essentiel
league  ligue
careful  prudent
criminal  criminel
core  cœur
upper  supérieur
rush  se ruer
necessarily  nécessairement
specifically  plus précisément
tired  fatigué
employ  employer
holiday  vacances
vast  vaste
fewer  moins
household  ménage
resolution  résolution
abortion  avortement
witness  témoin
apart  une part
match  rencontre
barely  à peine
sector  secteur
emphasize  mettre l'accent sur
representative  représentant
beneath  sous
incident  incident
beside  à côté de
limited  limité
proud  fier
flow  couler
faculty  la faculté
waste  déchets
increased  augmenté
merely  seulement
mass  masse
experiment  expérience
definitely  absolument
bomb  bombe
liberal  libéral
enormous  énorme
tone  ton
massive  massif
engineer  ingénieur
wheel  roue
decline  déclin
invest  investir
cable  câble
towards  vers
expose  exposer
rural  rural
narrow  étroit
cream  crème
secretary  secrétaire
gate  portail
solid  solide
(hill)  (colline)
noise  bruit
typically  typiquement
grass  gazon
hat  chapeau
unfortunately  malheureusement
legislation  législation
succeed  réussir
celebrate  célébrer
achievement  réussite
fishing  faire de la pêche
accuse  accuser
useful  utile
reject  rejeter
talent  talent
taste  goût
characteristic  caractéristique
milk  lait
escape  échapper
cast  jeter
sentence  phrase
unusual  inhabituel
closely  étroitement
convince  convaincre
height  la taille
physician  médecin
assess  évaluer
plenty  beaucoup
virtually  virtuellement
addition  une addition
sharp  tranchant
creative  créatif
lower  plus bas
approve  approuver
explanation  explication
gay  homosexuel
honor  honneur
proper  correct
campus  campus
guilty  coupable
acquire  acquérir
technical  technique
compete  rivaliser
plus  plus
immigrant  immigrant
weak  faible
illegal  illégal
hi  salut
alternative  alternative
column  colonne
interaction  interaction
personality  personnalité
curriculum  programme d'études
signal  signal
passenger  passager
assistance  assistance
forever  toujours
regard  qui concerne
israeli  israélien
(association)  (association)
twenty  vingt
knock  frappe
lab  laboratoire
wrap  envelopper
display  affichage
criticism  critique
asset  actif
depression  dépression
spiritual  spirituel
musical  musical
prayer  prière
journalist  journaliste
suspect  suspect
scholar  savant
warning  attention
climate  climat
cheese  fromage
observation  observation
payment  paiement
childhood  enfance
sir  monsieur
permit  permis
definition  définition
cigarette  cigarette
priority  priorité
bread  pain
creation  création
graduate  diplômé
request  demande
emotion  émotion
scream  crier
dramatic  spectaculaire
universe  univers
gap  écart
deeply  profondément
excellent  excellent
prosecutor  procureur
(mark)  (marque)
lucky  chanceux
drag  traîne
airline  compagnie aérienne
library  bibliothèque
agenda  ordre du jour
recover  se remettre
factory  usine
selection  sélection
primarily  principalement
roof  toit
unable  incapable
expense  frais
initiative  initiative
diet  diète
arrest  arrêter
funding  le financement
therapy  thérapie
wash  lavage
schedule  programme
sad  triste
brief  bref
housing  logement
post  publier
purchase  achat
existing  existant
steel  acier
regarding  en ce qui concerne
shout  crier
remaining  restant
visual  visuel
fairly  équitablement
violent  violent
chip  ébrécher
silent  silencieux
suppose  supposer
self  soi
bike  bicyclette
tea  thé
perceive  apercevoir
comparison  comparaison
settlement  règlement
layer  couche
planning  planification
description  la description
slide  faire glisser
widely  largement
wedding  mariage
inform  informer
portion  portion
territory  territoire
immediate  immédiat
opponent  adversaire
abandon  abandonner
(lake)  (lac)
transform  transformer
tension  tension
leading  premier
bother  embêter
consist  consister
alcohol  de l'alcool
enable  permettre
saving  économie
bend  pliez
desert  désert
shall  doit
error  erreur
cop  flic
arab  arabe
double  double
spanish  espagnol
sand  sable
print  impression
preserve  préserver
passage  passage
formal  formel
transition  transition
existence  existence
participation  participation
album  album
arrange  organiser
atmosphere  atmosphère
joint  découper
reply  réponse
cycle  cycle
lock  fermer à clé
opposite  opposé
deserve  mériter
consistent  cohérent
resistance  la résistance
discovery  découverte
exposure  exposition
pose  pose
stream  flux
sale  vendre
pot  pot
mine  mien
grand  grandiose
hello  bonjour
tale  conte
knife  couteau
coalition  coalition
resolve  résoudre
racial  racial
phase  phase
joke  blague
coat  manteau
mexican  mexicain
symptom  symptôme
manufacturer  fabricant
philosophy  philosophie
potato  patate
quote  citation
foundation  fondation
online  en ligne
negotiation  négociation
urge  exhorter
occasion  occasion
dust  poussière
breathe  respirer
elect  élire
investigator  enquêteur
jacket  veste
ordinary  ordinaire
glad  content
reduction  réduction
rarely  rarement
pack  pack
suicide  suicide
numerous  nombreux
substance  substance
discipline  la discipline
elsewhere  ailleurs
iron  fer à repasser
