the  la
maybe  peut être
toward  vers
able  pouvoir
age  âge
off  désactivé
policy  politique
everything  tout
love  amour
process  traiter
music  la musique
including  y compris
consider  considérer
appear  apparaître
actually  en fait
buy  acheter
probably  probablement
human  humain
wait  attendre
serve  servir
market  marché
die  mourir
send  envoyer
expect  attendre
home  domicile
sense  sens
build  construire
stay  rester
fall  tomber
oh  oh
nation  nation
plan  planifier
cut  couper
college  université
interest  intérêt
death  décès
course  cours
someone  quelqu'un
experience  expérience
behind  derrière
reach  atteindre
local  local
six  six
kill  tuer
remain  rester
effect  effet
use  utiliser
yeah  ouais
suggest  suggérer
class  classer
control  contrôler
raise  élever
care  se soucier
perhaps  peut-être
little  peu
late  en retard
hard  dur
field  champ
else  autre
pass  passe
former  ancien
sell  vendre
major  majeur
sometimes  parfois
require  exiger
along  le long de
development  développement
themselves  eux-mêmes
report  rapport
role  rôle
better  mieux
economic  économique
effort  effort
up  en haut
decide  décider
rate  taux
strong  fort
possible  possible
heart  cœur
drug  drogue
show  afficher
leader  chef
light  léger
voice  voix
wife  femme
whole  ensemble
police  police
mind  esprit
finally  finalement
pull  tirer
return  retourner
free  libre
military  militaire
price  le prix
report  rapport
less  moins
according  selon
decision  décision
explain  explique
son  fils
hope  espérer
even  même
develop  développer
view  voir
relationship  relation amoureuse
carry  porter
town  ville
road  route
drive  conduire
arm  bras
TRUE  true
federal  fédéral
break  pause
better  mieux
difference  différence
receive  recevoir
thank  remercier
value  évaluer
international  international
building  bâtiment
action  action
full  plein
model  maquette
join  rejoindre
season  saison
society  société
because  car
tax  impôt
director  réalisateur
early  de bonne heure
position  position
player  joueur
agree  je suis d'accord
especially  surtout
record  disque
pick  prendre
wear  porter
paper  papier
special  spécial
space  espacer
ground  sol
form  forme
support  support
event  un événement
official  officiel
whose  à qui
matter  question
everyone  toutes les personnes
center  centre
couple  coupler
site  placer
end  finir
project  projet
hit  frapper
base  base
activity  activité
star  star
table  table
need  besoin
court  rechercher
produce  produire
eat  manger
american  américain
teach  enseigner
oil  huile
half  demi
situation  situation
easy  facile
cost  coût
industry  industrie
figure  chiffre
face  visage
street  rue
image  image
itself  lui-même
phone  téléphoner
either  soit
data  les données
cover  couverture
quite  assez
picture  image
clear  dégager
practice  entraine toi
piece  pièce
land  terre
recent  récent
describe  décris
product  produit
doctor  médecin
wall  mur
patient  patient
worker  ouvrier
news  nouvelles
test  test
movie  film
certain  certain
north  nord
love  amour
personal  personnel
open  ouvrir
support  support
simply  simplement
third  la troisième
technology  la technologie
catch  attraper
step  étape
baby  bébé
computer  l'ordinateur
type  taper
attention  attention
draw  dessiner
film  film
republican  républicain
organization  organisation
tree  arbre
source  la source
red  rouge
nearly  presque
choose  choisir
cause  causer
hair  cheveu
look  voir
point  indiquer
century  siècle
evidence  preuve
window  la fenêtre
difficult  difficile
listen  ecoutez
soon  bientôt
culture  culture
billion  milliard
chance  chance
brother  frère
energy  énergie
realize  prendre conscience de
period  point final
course  cours
summer  l'été
less  moins
hundred  cent
available  disponible
plant  plante
likely  probable
opportunity  opportunité
term  terme
short  court
letter  lettre
condition  état
choice  choix
place  lieu
single  célibataire
rule  régner
daughter  la fille
administration  administration
south  sud
husband  mari
congress  congrès
floor  sol
campaign  campagne
material  matériel
population  population
well  bien
call  appel
economy  économie
medical  médical
hospital  hôpital
church  église
close  fermer
risk  risque
thousand  mille
current  courant
fire  feu
future  avenir
wrong  tort
involve  impliquer
defense  la défense
behavior  comportement
anyone  n'importe qui
increase  augmenter
security  sécurité
myself  moi même
bank  banque
certainly  certainement
west  ouest
sport  sport
board  planche
seek  chercher
per  par
subject  matière
officer  officier
private  privé
rest  du repos
deal  accord
performance  performance
fight  se battre
throw  lancer
top  haut
quickly  rapidement
past  passé
goal  but
second  seconde
bed  lit
order  commande
author  auteur
fill  remplir
represent  représenter
focus  se concentrer
foreign  étranger
drop  laissez tomber
plan  planifier
blood  du sang
upon  sur
agency  agence
push  pousser
nature  nature
color  couleur
no  non
recently  récemment
store  boutique
reduce  réduire
sound  sonner
note  remarque
fine  amende
before  avant de
near  près
movement  mouvement
page  page
enter  entrer
common  commun
share  partager
than  que
poor  pauvre
other  autre
natural  naturel
race  course
concern  préoccuper
series  séries
significant  important
similar  similaire
hot  chaud
language  langue
each  chaque
usually  d'habitude
response  réponse
dead  mort
rise  se lever
animal  animal
factor  facteur
decade  décennie
article  article
shoot  tirer
east  est
seven  sept
save  enregistrer
artist  artiste
away  une façon
scene  scène
eight  huit
stock  stock
career  carrière
despite  en dépit
central  central
thus  donc
treatment  traitement
beyond  au-delà
happy  content
exactly  exactement
protect  protéger
approach  approcher
lie  mensonge
size  taille
dog  chien
fund  fonds
serious  sérieux
occur  se produire
media  médias
ready  prêt
sign  signer
thought  pensait
list  liste
individual  individuel
simple  facile
quality  qualité
pressure  pression
accept  j'accepte
answer  répondre
hard  dur
resource  ressource
identify  identifier
left  la gauche
meeting  rencontre
determine  déterminer
prepare  préparer
disease  maladie
whatever  peu importe
success  succès
argue  se disputer
recognize  reconnaître
cup  coupe
particularly  particulièrement
amount  montant
ability  capacité
staff  personnel
indicate  indiquer
character  personnage
growth  croissance
loss  perte
degree  diplôme
wonder  merveille
attack  attaque
herself  se
region  région
television  télévision
box  boîte
training  formation
pretty  jolie
deal  accord
everybody  tout le monde
trade  commerce
election  élection
physical  physique
lay  allonger
general  général
feeling  sentiment
standard  la norme
message  un message
fail  échouer
(bill)  (facture)
outside  à l'extérieur
arrive  arrivée
analysis  analyse
benefit  avantage
name  nom
sex  sexe
forward  effronté
lawyer  avocat
present  cadeau
section  section
environmental  environnemental
glass  verre
skill  compétence
answer  répondre
sister  sœur
pm  pm
professor  professeur
operation  opération
financial  financier
crime  la criminalité
stage  étape
ok  d'accord
compare  comparer
authority  autorité
miss  mademoiselle
design  conception
sort  sorte
one  une
act  acte
ten  dix
knowledge  connaissances
gun  arme à feu
station  station
blue  bleu
state  etat
strategy  stratégie
little  peu
clearly  clairement
discuss  discuter
indeed  en effet
force  obliger
truth  vérité
song  chanson
example  exemple
democratic  démocratique
check  chèque
environment  environnement
leg  jambe
dark  foncé
public  publique
various  divers
rather  plutôt
laugh  rire
guess  deviner
executive  exécutif
set  ensemble
study  étude
prove  prouver
hang  pendre
entire  tout
rock  roche
design  conception
enough  assez
forget  oubliez
since  puisque
claim  réclamer
note  remarque
remove  retirer
manager  directeur
help  aider
close  fermer
sound  sonner
enjoy  prendre plaisir
network  réseau
legal  légal
religious  religieux
cold  du froid
form  forme
final  final
main  principale
science  la science
green  vert
memory  mémoire
card  carte
above  au dessus
seat  siège
cell  cellule
establish  établir
nice  agréable
trial  essai
expert  expert
that  ce
spring  le printemps
firm  solidifier
democrat  démocrate
radio  radio
visit  visiter
management  le management
care  se soucier
avoid  éviter
imagine  imaginer
tonight  ce soir
huge  énorme
ball  balle
no  non
close  fermer
yourself  toi-même
finish  terminer
talk  parler
theory  théorie
impact  impacter
respond  répondre
statement  déclaration
maintain  maintenir
charge  charger
popular  populaire
traditional  traditionnel
onto  sur
reveal  faire apparaître
direction  direction
weapon  arme
employee  employé
contain  contenir
cultural  culturel
peace  paix
head  diriger
control  contrôler
base  base
pain  douleur
apply  appliquer
play  jouer
wide  large
measure  mesure
shake  secouer
fly  voler
interview  entretien
manage  faire en sorte
chair  chaise
fish  poisson
particular  particulier
camera  appareil photo
structure  structure
politics  politique
bit  bit
perform  effectuer
weight  poids
suddenly  tout à coup
discover  découvrir
candidate  candidat
top  haut
production  production
treat  traiter
evening  soirée
trip  voyage
affect  affecter
inside  à l'intérieur
conference  conférence
unit  unité
best  meilleur
style  style
adult  adulte
worry  s'inquiéter
mention  mention
range  intervalle
rather  plutôt
far  loin
deep  profond
past  passé
edge  bord
individual  individuel
specific  spécifique
writer  écrivain
trouble  inquiéter
necessary  nécessaire
throughout  tout au long de
challenge  défi
fear  peur
shoulder  épaule
institution  institution
middle  milieu
sea  mer
dream  rêver
bar  bar
beautiful  magnifique
property  biens
instead  au lieu
improve  améliorer
stuff  truc
detail  détail
method  méthode
sign  signer
somebody  quelqu'un
magazine  magazine
hotel  hôtel
soldier  soldat
reflect  réfléchir
heavy  lourd
sexual  sexuel
cause  causer
bag  sac
heat  chauffer
fall  tomber
marriage  mariage
tough  difficile
sing  chanter
purpose  but
surface  surface
exist  exister
pattern  modèle
whom  qui
skin  la peau
agent  agent
owner  propriétaire
machine  machine
gas  gaz
down  vers le bas
ahead  devant
generation  génération
commercial  commercial
address  adresse
cancer  cancer
test  test
item  objet
reality  réalité
coach  entraîneur
step  étape
yard  cour
beat  battre
violence  la violence
total  total
tend  tendre
investment  investissement
discussion  discussion
finger  doigt
garden  jardin
notice  remarquer
collection  collection
modern  moderne
task  tâche
partner  partenaire
positive  positif
civil  civil
kitchen  cuisine
consumer  consommateur
shot  tirer
budget  budget
wish  souhaiter
painting  la peinture
scientist  scientifique
safe  sûr
agreement  accord
mouth  bouche
capital  capitale
nor  ni
victim  victime
newspaper  un journal
instead  au lieu
threat  menace
responsibility  responsabilité
smile  le sourire
attorney  avocat
score  but
account  compte
interesting  intéressant
break  pause
audience  public
rich  riche
dinner  dîner
figure  chiffre
vote  voter
western  occidental
relate  rapporter
travel  voyage
debate  débat
prevent  empêcher
citizen  citoyen
majority  majorité
none  rien
front  de face
born  née
admit  admettre
senior  sénior
assume  supposer
wind  vent
key  clé
professional  professionnel
mission  mission
fast  vite
alone  seule
customer  client
suffer  souffrir
speech  discours
successful  réussi
option  option
participant  participant
no  non
southern  du sud
eventually  finalement
fresh  frais
forest  forêt
video  vidéo
global  global
senate  sénat
reform  réforme
access  accéder
restaurant  restaurant
judge  juge
publish  publier
cost  coût
relation  relation
like  aimer
release  libération
own  posséder
bird  oiseau
labor  la main d'oeuvre
opinion  avis
credit  crédit
critical  critique
corner  coin
concerned  concerné
recall  rappeler
version  version
stare  regard
safety  sécurité
effective  efficace
neighborhood  quartier
original  original
act  acte
troop  troupe
income  le revenu
directly  directement
hurt  faire mal
species  espèce
immediately  immédiatement
track  piste
basic  de base
strike  la grève
hope  espérer
sky  ciel
freedom  liberté
absolutely  tout à fait
plane  avion
nobody  personne
achieve  atteindre
object  objet
nine  neuf
attitude  attitude
refer  référer
client  client
concept  concept
powerful  puissant
perfect  parfait
therefore  donc
conduct  conduite
announce  annoncer
conversation  conversation
examine  examiner
touch  toucher
please  s'il te plaît
attend  assister à
completely  complètement
vote  voter
variety  variété
sleep  sommeil
turn  tourner
involved  impliqué
investigation  enquête
nuclear  nucléaire
researcher  chercheur
press  presse
conflict  conflit
spirit  esprit
experience  expérience
replace  remplacer
british  britanique
encourage  encourager
argument  argument
by  par
(lot)  (parcelle)
once  une fois que
camp  camp
brain  cerveau
feature  caractéristique
afternoon  après midi
am  un m
weekend  weekend
dozen  douzaine
possibility  possibilité
along  le long de
insurance  assurance
department  département
battle  bataille
beginning  début
date  date
generally  généralement
african  africain
very  très
sorry  pardon
crisis  crise
complete  achevée
fan  ventilateur
stick  coller
define  définir
easily  facilement
through  par
hole  trou
element  élément
status  statut
vision  vision
normal  ordinaire
chinese  chinois
ship  bateau
stone  calcul
solution  solution
slowly  lentement
scale  escalader
bit  bit
(university)  (université)
introduce  présenter
driver  chauffeur
attempt  tentative
(park)  (parc)
spot  place
lack  manque
ice  glace
boat  bateau
drink  boisson
sun  soleil
front  de face
distance  distance
wood  bois
truck  un camion
handle  poignée
return  retourner
mountain  montagne
survey  enquête
supposed  supposé
tradition  tradition
winter  hiver
village  village
soviet  soviétique
refuse  refuser
sales  ventes
roll  rouler
communication  la communication
run  cours
screen  écran
gain  gain
resident  résident
hide  cacher
gold  or
club  club
farm  cultiver
future  avenir
potential  potentiel
increase  augmenter
middle  milieu
european  européen
presence  présence
independent  indépendant
district  quartier
shape  façonner
reader  lecteur
contract  contrat
crowd  foule
christian  christian
express  express
apartment  appartement
willing  disposé
strength  force
previous  précédent
band  bande
obviously  de toute évidence
horse  cheval
interested  intéressé
target  cible
prison  prison
ride  conduire
guard  garder
terms  termes
reporter  journaliste
demand  demande
deliver  livrer
text  texte
share  partager
tool  outil
wild  sauvage
vehicle  véhicule
observe  observer
flight  vol
inside  à l'intérieur
facility  établissement
understanding  entente
average  moyen
emerge  émerger
advantage  avantage
light  léger
quick  rapide
leadership  leadership
earn  gagner
pound  broyer
basis  base
bright  brillant
operate  fonctionner
guest  invité
sample  goûter
contribute  contribuer
tiny  minuscule
block  bloquer
protection  protection
settle  régler
feed  alimentation
collect  collecter
additional  additionnel
highly  très
while  tandis que
identity  identité
title  titre
mostly  la plupart
lesson  cours
faith  foi
river  fleuve
promote  promouvoir
living  vivant
present  cadeau
count  compter
unless  à moins que
marry  marier
tomorrow  demain
technique  technique
path  chemin
ear  oreille
shop  magasin
folk  populaire
order  commande
principle  principe
survive  survivre
lift  ascenseur
border  frontière
competition  concurrence
jump  saut
gather  rassembler
limit  limite
fit  ajuster
claim  réclamer
cry  pleurer
equipment  équipement
worth  valeur
associate  associer
critic  critique
warm  chaleureux
aspect  aspect
result  résultat
insist  insister
failure  échec
annual  annuel
french  français
comment  commenter
affair  affaire
responsible  responsable
approach  approcher
mean  signifier
until  jusqu'à ce que
procedure  procédure
regular  régulier
spread  propagé
chairman  président
baseball  base-ball
soft  doux
ignore  ignorer
egg  oeuf
measure  mesure
belief  croyance
demonstrate  démontrer
anybody  n'importe qui
murder  meurtre
gift  cadeau
religion  religion
review  la revue
editor  éditeur
past  passé
engage  engager
coffee  café
document  document
speed  vitesse
cross  traverser
influence  influence
anyway  en tous cas
commit  s'engager
threaten  menacer
female  femme
youth  jeunesse
wave  vague
move  bouge toi
afraid  peur
quarter  trimestre
background  contexte
native  originaire de
broad  large
wonderful  magnifique
deny  nier
apparently  apparemment
slightly  légèrement
reaction  réaction
twice  deux fois
suit  combinaison
perspective  la perspective
growing  croissance
blow  souffler
construction  construction
kind  type
intelligence  intelligence
destroy  détruire
cook  cuisiner
charge  charger
connection  connexion
burn  brûler
shoe  chaussure
neighbor  voisine
view  voir
grade  noter
context  le contexte
committee  comité
hey  hé
mistake  erreur
focus  se concentrer
smile  le sourire
location  lieu
clothes  vêtements
quiet  silencieux
indian  indien
dress  robe
promise  promettre
aware  au courant
complete  achevée
drive  conduire
function  une fonction
bone  os
active  actif
extend  se déployer
chief  chef
average  moyen
combine  combiner
wine  vin
below  au dessous de
cool  frais
voter  électeur
bus  autobus
demand  demande
learning  apprentissage
hell  enfer
dangerous  dangereux
remind  rappeler
moral  moral
united  uni
category  catégorie
relatively  relativement
victory  la victoire
key  clé
academic  académique
visit  visiter
internet  l'internet
healthy  sain
fire  feu
negative  négatif
following  suivant
historical  historique
medicine  médicament
tour  visiter
depend  dépendre
(photo)  (photo)
finding  découverte
grab  saisir
direct  direct
classroom  salle de classe
contact  contact
justice  justice
participate  participer
daily  du quotidien
fair  équitable
pair  paire
famous  célèbre
exercise  exercer
knee  le genou
flower  fleur
tape  ruban
hire  embaucher
familiar  familier
appropriate  approprié
supply  fournir
fully  pleinement
cut  couper
actor  acteur
will  volonté
birth  naissance
search  chercher
tie  nouer
democracy  la démocratie
eastern  est
primary  primaire
yesterday  hier
circle  cercle
device  appareil
progress  le progrès
next  suivant
front  de face
bottom  bas
island  île
exchange  échanger
clean  nettoyer
studio  studio
train  former
lady  dame
colleague  collègue
application  application
lean  mince
neck  cou
damage  dommage
plastic  plastique
tall  haut
plate  assiette
hate  détester
otherwise  par ailleurs
writing  en écrivant
press  presse
male  masculin
start  démarrer
alive  vivant
expression  expression
football  football
theater  théâtre
intend  avoir l'intention
attack  attaque
chicken  poulet
army  armée
abuse  abuser de
shut  fermer
map  carte
extra  supplémentaire
session  session
welcome  bienvenue
danger  danger
domestic  national
lots  beaucoup
literature  littérature
rain  pluie
desire  désir
assessment  évaluation
injury  blessure
respect  le respect
paint  peinture
northern  nord
nod  hocher la tête
fuel  carburant
leaf  feuille
direct  direct
dry  sécher
russian  russe
instruction  instruction
fight  se battre
pool  bassin
climb  grimper
sweet  sucré
lead  mener
engine  moteur
fourth  quatrième
salt  sel
expand  développer
importance  importance
metal  métal
fat  gros
ticket  billet
software  logiciel
disappear  disparaître
corporate  d'entreprise
strange  étrange
reading  la lecture
lip  lèvre
urban  urbain
mental  mental
increasingly  de plus en plus
lunch  déjeuner
educational  éducatif
somewhere  quelque part
farmer  fermier
above  au dessus
sugar  du sucre
planet  planète
favorite  favori
explore  explorer
obtain  obtenir
enemy  ennemi
greatest  le plus grand
complex  complexe
surround  entourer
athlete  athlète
invite  inviter
repeat  répéter
carefully  soigneusement
soul  âme
scientific  scientifique
impossible  impossible
panel  panneau
meaning  signification
mom  maman
married  marié
instrument  instrument
alone  seule
predict  prédire
weather  la météo
presidential  présidentiel
commitment  engagement
emotional  émotif
supreme  suprême
bear  ours
pocket  poche
thin  mince
temperature  température
poll  sondage
surprise  surprendre
proposal  proposition
consequence  conséquence
half  demi
breath  souffle
sight  vue
cover  couverture
balance  équilibre
adopt  adopter
minority  minorité
straight  droit
attempt  tentative
connect  relier
works  œuvres
teaching  enseignement
belong  appartiennent
aid  aide
advice  conseils
okay  d'accord
organize  organiser
(photograph)  (photographier)
empty  vide
regional  régional
trail  piste
novel  roman
code  code
somehow  en quelque sorte
jury  jury
iraqi  irakien
breast  sein
human  humain
acknowledge  accuser réception
theme  thème
storm  orage
record  disque
union  syndicat
desk  pupitre
fear  peur
thanks  merci
fruit  fruit
under  en dessous de
expensive  cher
yellow  jaune
conclusion  conclusion
prime  premier
shadow  ombre
struggle  lutter
conclude  conclure
dance  danse
analyst  analyste
limit  limite
like  aimer
regulation  régulation
being  être
last  dernier
ring  bague
largely  en grande partie
shift  changement
revenue  revenu
locate  localiser
mark  marque
(county)  (comté)
appearance  apparence
package  emballer
difficulty  difficulté
bridge  pont
recommend  recommander
obvious  évident
train  former
basically  fondamentalement
e-mail  e-mail
generate  produire
anymore  plus
propose  proposer
thinking  en pensant
possibly  peut-être
trend  tendance
visitor  visiteur
loan  prêter
currently  actuellement
comfortable  à l'aise
investor  investisseur
but  mais
profit  profit
angry  en colère
crew  équipage
accident  accident
deep  profond
male  masculin
meal  repas
hearing  audience
traffic  circulation
muscle  muscle
notion  notion
capture  capturer
prefer  préférer
chest  coffre
japanese  japonais
truly  vraiment
(earth)  (la terre)
search  chercher
thick  épais
cash  en espèces
museum  musée
beauty  beauté
emergency  urgence
unique  unique
feature  caractéristique
internal  interne
ethnic  ethnique
link  lien
stress  stress
content  contenu
select  sélectionner
root  racine
nose  nez
declare  déclarer
outside  à l'extérieur
appreciate  apprécier
actual  réel
bottle  bouteille
hardly  à peine
setting  réglage
launch  lancement
dress  robe
file  fichier
sick  malade
outcome  résultat
ad  un d
matter  question
defend  défendre
judge  juge
duty  devoir
sheet  drap
ensure  assurer
ought  devrait
long-term  long terme
extremely  extrêmement
catholic  catholique
extent  le degré
mix  mélanger
component  composant
slow  lent
contrast  contraste
zone  zone
wake  réveiller
airport  aéroport
ourselves  nous-mêmes
challenge  défi
chief  chef
brown  marron
standard  la norme
shirt  chemise
pilot  pilote
warn  prévenir
ultimately  finalement
cat  chat
contribution  contribution
capacity  capacité
estate  domaine
guide  guider
circumstance  circonstance
snow  neiger
english  anglais
politician  politicien
steal  voler
pursue  poursuivre
slip  glisser
percentage  pourcentage
meat  viande
funny  drôle
neither  non plus
soil  sol
influence  influence
surgery  opération
correct  correct
jewish  juif
due  payable
blame  faire des reproches
estimate  estimation
basketball  basket-ball
late  en retard
golf  le golf
investigate  enquêter
crazy  fou
significantly  significativement
chain  chaîne
address  adresse
branch  branche
combination  combinaison
just  juste
frequently  fréquemment
governor  gouverneur
relief  soulagement
user  utilisateur
dad  père
kick  donner un coup
part  partie
ancient  ancien
manner  manière
rating  notation
silence  silence
golden  doré
motion  mouvement
german  allemand
gender  le sexe
solve  résoudre
fee  frais
landscape  paysage
used  utilisé
bowl  bol
equal  égal
long  long
official  officiel
frame  cadre
forth  en avant
typical  typique
except  à l'exception
conservative  conservateur
eliminate  éliminer
hall  salle
host  héberger
trust  confiance
ocean  océan
row  ligne
score  but
producer  producteur
afford  s'offrir
meanwhile  entre-temps
regime  régime
division  division
fix  réparer
confirm  confirmer
appeal  faire appel
mirror  miroiter
tooth  dent
length  longueur
smart  intelligent
rely  compter sur
entirely  entièrement
complain  se plaindre
topic  sujet
issue  publier
variable  variable
back  arrière
range  intervalle
telephone  téléphone
perception  la perception
attract  attirer
secret  secret
bedroom  chambre à coucher
confidence  confiance
debt  dette
rare  peu fréquent
his  le sien
tank  char
nurse  infirmière
opposition  opposition
coverage  couverture
aside  de côté
anywhere  partout
bond  lier
file  fichier
pleasure  plaisir
master  maître
era  ère
requirement  exigence
stand  supporter
check  chèque
fun  amusant
wing  aile
expectation  attente
now  à présent
separate  séparé
except  à l'exception
clear  dégager
struggle  lutter
mean  signifier
somewhat  quelque peu
pour  verser
stir  remuer
judgment  jugement
clean  nettoyer
beer  bière
english  anglais
reference  référence
tear  larme
doubt  doute
grant  accorder
seriously  sérieusement
account  compte
minister  ministre
totally  totalement
hero  héros
industrial  industriel
cloud  nuage
stretch  s'étirer
winner  gagnant
volume  le volume
travel  voyage
seed  planter
surprised  surpris
rest  du repos
fashion  mode
pepper  poivre
busy  occupé
separate  séparé
intervention  intervention
copy  copie
tip  pointe
below  au dessous de
cheap  pas cher
aim  objectif
cite  citer
welfare  bien-être
vegetable  légume
dish  assiette
improvement  amélioration
beach  plage
everywhere  partout
gray  grise
opening  ouverture
overall  globalement
divide  diviser
initial  initiale
terrible  terrible
oppose  s'opposer
route  route
contemporary  contemporain
multiple  plusieurs
essential  essentiel
question  question
league  ligue
careful  prudent
criminal  criminel
core  cœur
upper  supérieur
rush  se ruer
necessarily  nécessairement
specifically  plus précisément
tired  fatigué
rise  se lever
tie  nouer
employ  employer
holiday  vacances
dance  danse
vast  vaste
fewer  moins
household  ménage
resolution  résolution
abortion  avortement
witness  témoin
apart  une part
match  rencontre
barely  à peine
sector  secteur
emphasize  mettre l'accent sur
representative  représentant
beneath  sous
lack  manque
black  le noir
incident  incident
beside  à côté de
limited  limité
proud  fier
flow  couler
faculty  la faculté
waste  déchets
increased  augmenté
merely  seulement
mass  masse
experiment  expérience
definitely  absolument
bomb  bombe
liberal  libéral
enormous  énorme
tone  ton
massive  massif
engineer  ingénieur
female  femme
wheel  roue
decline  déclin
invest  investir
promise  promettre
cable  câble
towards  vers
expose  exposer
rural  rural
narrow  étroit
cream  crème
secretary  secrétaire
gate  portail
solid  solide
(hill)  (colline)
noise  bruit
typically  typiquement
grass  gazon
hat  chapeau
unfortunately  malheureusement
legislation  législation
succeed  réussir
celebrate  célébrer
either  soit
achievement  réussite
fishing  faire de la pêche
drink  boisson
accuse  accuser
hand  main
useful  utile
land  terre
secret  secret
reject  rejeter
talent  talent
taste  goût
characteristic  caractéristique
milk  lait
escape  échapper
cast  jeter
sentence  phrase
unusual  inhabituel
closely  étroitement
convince  convaincre
height  la taille
physician  médecin
assess  évaluer
sleep  sommeil
plenty  beaucoup
ride  conduire
virtually  virtuellement
first  première
addition  une addition
sharp  tranchant
creative  créatif
behind  derrière
lower  plus bas
approve  approuver
explanation  explication
outside  à l'extérieur
gay  homosexuel
honor  honneur
proper  correct
campus  campus
live  habitent
guilty  coupable
living  vivant
acquire  acquérir
